"iditem_producto_combo"|"descripcion"|"cantidad"|"precio_alquiler"|"precio_reposicion"|"fk_idproducto"|"fk_idproducto_combo"
83|"Cuchillo p/Asado"|8|1000|5000|33|22
84|"Tenedor p/Asado"|8|1000|5000|34|22
85|"Copas Barrocas s/pedido"|8|5000|0|81|22
86|"Sillas Tiffany - Blancas"|8|12000|0|25|22
87|"Servilletas de tela (color s/pedido)"|8|2500|10000|75|22
88|"Champañeras Inox Grandes"|1|7500|95000|50|22
89|"Mesa redonda p/8P"|1|10000|0|79|23
90|"Mantel brocato (color s/pedido)"|1|25000|100000|72|23
91|"Sillas Plásticas - Blancas"|8|5000|0|26|23
92|"Plato normal"|8|2000|15000|29|23
93|"Vasos de Vidrio "|8|1500|5000|39|23
94|"Cuchillo p/Asado"|8|1000|5000|33|23
95|"Tenedor p/Asado"|8|1000|5000|34|23
96|"Champañeras Inox Grandes"|1|7500|95000|50|23
97|"Mesa Alta Bistró Blanca - Combo"|1|0|0|78|24
98|"Silla Alta BISTRÓ BLANCA"|4|30000|0|20|24
99|"Mesa larga/tablón p/10P"|1|20000|0|80|25
100|"Mantel brocato (color s/pedido)"|1|25000|100000|72|25
101|"Sillas Tiffany - Blancas"|10|12000|0|25|25
102|"Posa plato "|10|5000|40000|82|25
103|"Plato normal"|10|2000|15000|29|25
